young,hair_short,skin_dark,has_facial_hair,has_accessories,job_type_higher_ed,face_positive,main_hobby_Arts,main_hobby_Music,main_hobby_Sport,main_hobby_Travel,playerID
99.8109640831758,99.88109393579072,99.90817263544535,97.22222222222221,99.17355371900827,92.56198347107438,95.27410207939508,91.0,93.07479224376732,100.0,58.13148788927336,01J1TSQAXER19SYB115VJTTA76
97.95918367346938,64.0,87.04,99.8109640831758,99.30555555555556,99.0,94.33106575963718,99.0,98.76543209876543,86.42659279778393,58.13148788927336,01J1TQTERTVXPBN1RB1E4KVWQV
77.12665406427222,66.4819944598338,82.63888888888889,75.0,99.88109393579072,81.63265306122449,98.56,99.55555555555556,98.76543209876543,97.95918367346938,100.0,01J1TRGQETB3P9YES33NNMCVAC
37.67313019390581,99.30555555555556,87.04,79.33884297520662,97.63313609467455,99.88109393579072,97.70431588613407,93.75,92.56198347107438,80.24691358024691,99.8109640831758,01J1TRJG53CGG2S18N88VE78AA
90.53254437869822,81.63265306122449,98.76543209876543,99.17355371900827,76.81755829903977,100.0,91.0,55.55555555555556,99.0,80.24691358024691,91.0,01J1TSBC1JBYGJ3PRK05CRMF3K
85.20710059171599,96.0,96.0,43.75,38.26530612244898,97.02734839476813,96.0,83.04498269896195,77.5623268698061,16.635160680529314,88.88888888888889,01J1TSJPARN3CB8YRHEWD4PPG9
99.88109393579072,98.92984542211653,96.57064471879286,75.0,99.17355371900827,80.859375,86.77685950413223,0.0,99.7229916897507,72.96000000000001,83.04498269896195,01J1TQNANBFZV7M6VRM670890H
95.27410207939508,99.0,94.33106575963718,0.0,97.95918367346938,97.63313609467455,96.0,23.4375,98.76543209876543,41.52249134948097,99.7229916897507,01J1TQYM9CW5N1SZKRHQ6QXMB3
99.30555555555556,95.40816326530613,85.61236623067776,99.06347554630594,97.22222222222221,96.57064471879286,98.4375,34.467120181405896,85.9375,100.0,15.359999999999996,01J1TRAFFHAVG65MTKAT18D33R
84.68809073724007,98.29867674858222,97.95918367346938,97.22222222222221,98.76543209876543,75.0,94.17360285374554,100.0,96.0,91.34948096885813,99.55555555555556,01J1TRQWJ6NRHGJCTZ7QB4JQTK
99.83999999999999,99.88109393579072,99.17355371900827,99.8109640831758,99.17355371900827,94.67455621301775,94.67455621301775,47.107438016528924,100.0,45.3686200378072,99.55555555555556,01J1MWZXX64ZS0EMXHVHCWH4DA
87.04,97.22222222222221,100.0,98.29867674858222,93.27846364883402,97.39854318418314,85.20710059171599,83.04498269896195,99.65397923875432,95.06172839506173,91.83673469387756,01J1MXSK8ZQDH52WGQKJ57NKDX
75.0,91.0,94.33106575963718,99.77324263038548,94.67455621301775,91.83673469387756,57.46691871455576,93.07479224376732,97.22222222222221,77.5623268698061,97.95918367346938,01J1MXVVS1HEE2AF1K0VNF2ABG
57.46691871455576,99.55555555555556,99.83999999999999,81.63265306122449,99.55555555555556,96.0,75.0,75.0,81.63265306122449,59.50413223140496,96.0,01J1MW7XMJGA05QZQ4F2PBHCVQ
81.63265306122449,97.95918367346938,98.76543209876543,81.63265306122449,90.73724007561437,86.42659279778393,92.16,99.0,82.63888888888889,55.55555555555556,100.0,01J1MWB4213GBXXPEFP32QRYZT
69.1358024691358,75.0,99.83999999999999,88.88888888888889,81.63265306122449,99.40828402366864,99.30555555555556,99.65397923875432,99.65397923875432,71.97231833910034,92.16,01J1MWVG92N53460ZX8YM5YTKE
97.63313609467455,99.48979591836735,88.88888888888889,100.0,99.48979591836735,32.17993079584775,99.0,96.0,100.0,95.27410207939508,98.76543209876543,01J1MX6FWV8HSSA91H691AJRPY
91.0,90.53254437869822,96.0,0.0,99.30555555555556,98.56,82.63888888888889,96.0,99.65397923875432,75.0,99.8109640831758,01J1MXES8XXA75N1VN97GMS1CM
97.95918367346938,59.50413223140496,98.29867674858222,79.33884297520662,92.56198347107438,98.22222222222223,91.0,69.1358024691358,85.9375,99.8109640831758,0.0,01J1MXWRPDKMVSBEHHDPDBQZAV
